character,text,start_time,end_time,location,time in ms
THREEPIO,did you hear that theyve shut down the main reactor well be destroyed for sure this is madness,"00:02:47,620","00:02:54,170", REBEL BLOCKADE RUNNER ,341790
THREEPIO,were doomed,"00:03:04,180","00:03:05,640", REBEL BLOCKADE RUNNER ,369820
THREEPIO,therell be no escape for the princess this time,"00:03:08,020","00:03:10,270", REBEL BLOCKADE RUNNER ,378290
THREEPIO,whats that,"00:03:13,610","00:03:15,070", REBEL BLOCKADE RUNNER ,388680
REBEL OFFICER,we intercepted no transmissions aaah this is a consular ship were on a diplomatic mission,"00:05:53,180","00:05:57,190", REBEL BLOCKADE RUNNER ,710370
VADER,if this is a consular ship were is the ambassador,"00:05:57,270","00:06:01,900", REBEL BLOCKADE RUNNER ,719170
VADER,commander tear this ship apart until youve found those plans and bring me the ambassador i want her alive,"00:06:05,320","00:06:11,910", REBEL BLOCKADE RUNNER ,737230
TROOPER,there she is set for stun,"00:06:24,380","00:06:25,920", REBEL BLOCKADE RUNNER ,770300
TROOPER,shell be all right inform lord vader we have a prisoner,"00:06:31,640","00:06:35,310", REBEL BLOCKADE RUNNER ,786950
THREEPIO,hey youre not permitted in there its restricted youll be deactivated for sure,"00:06:36,890","00:06:41,440", REBEL BLOCKADE RUNNER ,798330
THREEPIO,dont call me a mindless philosopher you overweight glob of grease now come out before somebody sees you,"00:06:43,400","00:06:47,780", REBEL BLOCKADE RUNNER ,811180
THREEPIO,secret mission what plans what are you talking about im not getting in there,"00:06:50,160","00:06:55,080", REBEL BLOCKADE RUNNER ,825240
THREEPIO,im going to regret this,"00:06:58,410","00:07:00,670", REBEL BLOCKADE RUNNER ,839080
CAPTAIN,hold your fire there are no life forms it must have been short circuited,"00:07:11,220","00:07:12,550", IMPERIAL STARDESTROYER,863770
THREEPIO,thats funny the damage doesnt look as bad from out here,"00:07:12,640","00:07:15,970", LIFEPOD,868610
THREEPIO,are you sure this things safe,"00:07:18,310","00:07:20,310", LIFEPOD,878620
THREEPIO,what makes you think there are settlements over there,"00:09:39,700","00:09:42,120", TATOOINE ,1161820
THREEPIO,dont get technical with me,"00:09:43,870","00:09:45,620", TATOOINE ,1169490
THREEPIO,what mission what are you talking about ive had just about enough of you go that way youll be malfunctioning within a day you nearsighted scrap pile,"00:09:46,920","00:09:58,340", TATOOINE ,1185260
THREEPIO,and dont let me catch you following me begging for help because you wont get it,"00:09:59,050","00:10:02,680", TATOOINE ,1201730
THREEPIO,no more adventures im not going that way,"00:10:17,150","00:10:20,950", TATOOINE ,1238100
THREEPIO,that malfunctioning little twerp this is all his fault he tricked me into going this way but hell do no better,"00:10:54,860","00:11:03,080", TATOOINE ,1317940
THREEPIO,wait whats that a transport im saved,"00:11:06,330","00:11:11,290", TATOOINE ,1337620
THREEPIO,over here help please help,"00:11:11,380","00:11:19,380", TATOOINE ,1350760
LUKE,obiwan kenobi i wonder if he means old ben kenobi,"00:22:13,790","00:22:16,960", LARS HOMESTEAD ,2670750
THREEPIO,i beg your pardon sir but do you know what hes talking about,"00:22:17,040","00:22:19,710", LARS HOMESTEAD ,2676750
LUKE,well i dont know anyone named obi wan but old ben lives out beyond the dune sea hes kind of a strange old hermit,"00:22:19,790","00:22:27,090", LARS HOMESTEAD ,2686880
LUKE,i wonder who she is it sounds like shes in trouble id better play back the whole thing,"00:22:28,300","00:22:33,220", LARS HOMESTEAD ,2701520
THREEPIO,he says the restraining bolt has short circuited his recording system he suggests that if you remove the bolt he might be able to play back the entire recording,"00:22:36,940","00:22:46,030", LARS HOMESTEAD ,2722970
LUKE,hm oh yeah well i guess youre too small to run away on me if i take this off okay,"00:22:46,110","00:22:51,830", LARS HOMESTEAD ,2737940
LUKE,there you go,"00:22:51,910","00:22:57,620", LARS HOMESTEAD ,2749530
LUKE,well wait a minute whered she go bring her back play back the entire message,"00:22:59,170","00:23:02,500", LARS HOMESTEAD ,2761670
THREEPIO,what message the one youre carrying inside your rusty innards,"00:23:02,590","00:23:08,260", LARS HOMESTEAD ,2770850
LUKE,all right ill be right there aunt beru,"00:23:10,760","00:23:13,010", LARS HOMESTEAD ,2783770
THREEPIO,im sorry sir but he appears to have picked up a slight flutter,"00:23:13,100","00:23:16,230", LARS HOMESTEAD ,2789330
LUKE,well see what you can do with him ill be right back,"00:23:16,310","00:23:19,770", LARS HOMESTEAD ,2796080
THREEPIO,just you reconsider playing that message for him,"00:23:22,440","00:23:25,280", LARS HOMESTEAD ,2807720
THREEPIO,no i dont think he likes you at all,"00:23:26,400","00:23:28,240", LARS HOMESTEAD ,2814640
THREEPIO,no i dont like you either,"00:23:28,860","00:23:31,280", LARS HOMESTEAD ,2820140
LUKE,you know i think that r2 unit we bought might have been stolen,"00:23:40,000","00:23:43,840", LARS HOMESTEAD ,2843840
LUKE,well i stumbled across a recording while i was cleaning him he says he belongs to someone called obiwan kenobi,"00:23:46,960","00:23:49,470", LARS HOMESTEAD ,2856430
LUKE,i thought he might have meant old ben do you know what hes talking about well i wonder if hes related to ben,"00:23:52,260","00:23:59,640", LARS HOMESTEAD ,2871900
OWEN,that old mans just a crazy old wizard tomorrow i want you to take that r2 unit into anchorhead and have its memory flushed thatll be the end of it it belongs to us now,"00:23:59,730","00:24:08,690", LARS HOMESTEAD ,2888420
LUKE,but what if this obiwan comes looking for him,"00:24:10,400","00:24:13,070", LARS HOMESTEAD ,2903470
OWEN,he wont i dont think he exists any more he died about the same time as your father,"00:24:13,160","00:24:19,250", LARS HOMESTEAD ,2912410
LUKE,he knew my father,"00:24:19,330","00:24:22,460", LARS HOMESTEAD ,2921790
OWEN,i told you to forget it your only concern is to prepare the new droids for tomorrow in the morning i want them on the south ridge working out those condensers,"00:24:23,580","00:24:30,630", LARS HOMESTEAD ,2934210
LUKE,yes sir i think those new droids are going to work out fine in fact i uh was also thinking about our agreement about my staying on another season and if these new droids do work out i want to transmit my application to the academy this year,"00:24:31,300","00:24:47,690", LARS HOMESTEAD ,2958990
OWEN,you mean the next semester before harvest,"00:24:48,610","00:24:50,530", LARS HOMESTEAD ,2979140
LUKE,sure therere more than enough droids,"00:24:50,610","00:24:52,450", LARS HOMESTEAD ,2983060
OWEN,harvest is when i need you the most only one more season this year well make enough on the harvest so ill be able to hire some more hands and then you can go to the academy next year,"00:24:52,530","00:25:02,330", LARS HOMESTEAD ,2994860
OWEN,you must understand i need you here luke,"00:25:03,250","00:25:05,290", LARS HOMESTEAD ,3008540
LUKE,but its a whole nother year,"00:25:05,380","00:25:08,300", LARS HOMESTEAD ,3013680
OWEN,ill make it up to him next year i promise,"00:25:21,180","00:25:23,600", LARS HOMESTEAD ,3044780
AUNT BERU,lukes just not a farmer owen he has too much of his father in him,"00:25:25,310","00:25:29,230", LARS HOMESTEAD ,3054540
OWEN,thats what im afraid of,"00:25:30,030","00:25:31,530", LARS HOMESTEAD ,3061560
LUKE,what are you doing hiding there,"00:26:20,700","00:26:23,870", LARS HOMESTEAD ,3164570
THREEPIO,it wasnt my fault sir please dont deactivate me i told him not to go but hes faulty malfunctioning kept babbling on about his mission,"00:26:23,950","00:26:31,800", LARS HOMESTEAD ,3175750
THREEPIO,that r2 unit has always been a problem these astrodroids are getting quite out of hand even i cant understand their logic at times,"00:26:42,760","00:26:47,730", TATOOINE ,3210490
LUKE,how could i be so stupid hes nowhere in sight blast it,"00:26:47,810","00:26:51,570", TATOOINE ,3219380
THREEPIO,pardon me sir but couldnt we go after him,"00:26:51,650","00:26:54,280", TATOOINE ,3225930
LUKE,its too dangerous with all the sandpeople around well have to wait until morning,"00:26:54,360","00:26:57,570", TATOOINE ,3231930
OWEN,luke im shutting the power down for the night,"00:26:57,650","00:26:59,660", TATOOINE ,3237310
LUKE,all right ill be there in a few minutes boy am i gonna get it,"00:26:59,740","00:27:03,870", TATOOINE ,3243610
LUKE,you know that little droid is going to cause me a lot of trouble,"00:27:05,000","00:27:06,960", TATOOINE ,3251960
THREEPIO,oh he excels at that sir,"00:27:07,040","00:27:09,000", TATOOINE ,3256040
OWEN,have you seen luke this morning,"00:27:31,690","00:27:33,610", LARS HOMESTEAD ,3305300
AUNT BERU,he said he had some things to do before he started today so he left early,"00:27:33,690","00:27:37,110", LARS HOMESTEAD ,3310800
OWEN,uh did he take those two new droids with him,"00:27:37,190","00:27:40,280", LARS HOMESTEAD ,3317470
LUKE,there are two banthas down there but i dont see any wait a second theyre sandpeople all right i can see one of them now,"00:28:50,480","00:28:55,230", TATOOINE ,3465710
BEN,hello there come here my little friend dont be afraid,"00:30:09,850","00:30:16,730", TATOOINE ,3626580
BEN,dont worry hell be all right,"00:30:19,440","00:30:21,190", TATOOINE ,3640630
BEN,rest easy son youve had a busy day youre fortunate youre still in one piece,"00:30:30,740","00:30:33,700", TATOOINE ,3664440
LUKE,ben ben kenobi boy am i glad to see you,"00:30:36,960","00:30:41,250", TATOOINE ,3678210
BEN,the jundland wastes are not to be traveled lightly tell me young luke what brings you out this far,"00:30:41,340","00:30:51,100", TATOOINE ,3692440
LUKE,oh this little droid i think hes searching for his former master ive never seen such devotion in a droid before there seems to be no stopping him he claims to be the property of an obiwan kenobi is he a relative of yours do you know who hes talking about,"00:30:51,850","00:31:07,150", TATOOINE ,3719000
BEN,obiwan kenobi obiwan now thats a name i havent heard in a long time a long time,"00:31:08,700","00:31:21,750", TATOOINE ,3750450
LUKE,i think my uncle knew him he said he was dead,"00:31:22,920","00:31:25,840", TATOOINE ,3768760
BEN,oh hes not dead not not yet,"00:31:25,920","00:31:28,930", TATOOINE ,3774850
BEN,well of course of course i know him hes me i havent gone by the name obiwan since oh before you were born,"00:31:32,100","00:31:42,190", TATOOINE ,3794290
LUKE,then the droid does belong to you,"00:31:42,270","00:31:43,900", TATOOINE ,3806170
BEN,dont seem to remember ever owning a droid very interesting,"00:31:43,980","00:31:49,990", TATOOINE ,3813970
BEN,i think we better get indoors the sandpeople are easily startled but they will soon be back and in greater numbers,"00:31:52,030","00:32:00,250", TATOOINE ,3832280
THREEPIO,where am i i must have taken a bad step,"00:32:13,850","00:32:16,520", TATOOINE ,3870370
LUKE,can you stand weve got to get out of here before the sandpeople return,"00:32:17,980","00:32:21,230", TATOOINE ,3879210
THREEPIO,i dont think i can make it you go on master luke theres no sense in you risking yourself on my account im done for,"00:32:21,310","00:32:28,190", TATOOINE ,3889500
LUKE,no youre not what kind of talk is that,"00:32:29,240","00:32:31,160", TATOOINE ,3900400
BEN,quickly son theyre on the move,"00:32:31,240","00:32:33,160", TATOOINE ,3904400
LUKE,no my father didnt fight in the wars he was a navigator on a spice freighter,"00:32:38,450","00:32:41,830", KENOBI'S DWELLING,3920280
BEN,thats what your uncle told you he didnt hold with your fathers ideals thought he should have stayed here and not gotten involved,"00:32:41,920","00:32:48,880", KENOBI'S DWELLING,3930800
LUKE,you fought in the clone wars,"00:32:49,590","00:32:51,930", KENOBI'S DWELLING,3941520
BEN,yes i was once a jedi knight the same as your father,"00:32:52,010","00:32:55,680", KENOBI'S DWELLING,3947690
LUKE,i wish id known him,"00:32:58,220","00:32:59,980", KENOBI'S DWELLING,3958200
BEN,he was the best starpilot in the galaxy and a cunning warrior i understand youve become quite a good pilot yourself and he was a good friend which reminds me,"00:33:00,060","00:33:14,410", KENOBI'S DWELLING,3974470
BEN,i have something here for you your father wanted you to have this when you were old enough but your uncle wouldnt allow it he feared you might follow old obiwan on some damnedfool idealistic crusade like your father did,"00:33:15,620","00:33:31,550", KENOBI'S DWELLING,4007170
THREEPIO,sir if youll not be needing me ill close down for awhile,"00:33:31,630","00:33:34,590", KENOBI'S DWELLING,4026220
LUKE,sure go ahead,"00:33:34,680","00:33:36,260", KENOBI'S DWELLING,4030940
BEN,your fathers lightsaber this is the weapon of a jedi knight not as clumsy or as random as a blaster,"00:33:43,100","00:33:48,650", KENOBI'S DWELLING,4051750
BEN,an elegant weapon for a more civilized time for over a thousand generations the jedi knights were the guardians of peace and justice in the old republic before the dark times before the empire,"00:33:49,650","00:34:07,920", KENOBI'S DWELLING,4077570
LUKE,how did my father die,"00:34:10,920","00:34:12,880", KENOBI'S DWELLING,4103800
BEN,a young jedi named darth vader who was a pupil of mine until he turned to evil helped the empire hunt down and destroy the jedi knights he betrayed and murdered your father now the jedi are all but extinct vader was seduced by the dark side of the force,"00:34:15,340","00:34:37,910", KENOBI'S DWELLING,4133250
LUKE,the force,"00:34:37,990","00:34:39,580", KENOBI'S DWELLING,4157570
BEN,well the force is what gives a jedi his power its an energy field created by all living things it surrounds us and penetrates us it binds the galaxy together,"00:34:40,870","00:34:51,340", KENOBI'S DWELLING,4172210
BEN,now lets see if we cant figure out what you are my little friend and where you come from,"00:34:58,390","00:35:04,310", KENOBI'S DWELLING,4202700
LUKE,i saw part of the message he was,"00:35:04,390","00:35:07,560", KENOBI'S DWELLING,4211950
LEIA,general kenobi years ago you served my father in the clone wars now he begs you to help him in his struggle against the empire i regret that i am unable to present my fathers request to you in person but my ship has fallen under attack and im afraid my mission to bring you to alderaan has failed i have placed information vital to the survival of the rebellion into the memory systems of this r2 unit my father will know how to retrieve it you must see this droid safely delivered to him on alderaan this is our most desperate hour help me obiwan kenobi youre my only hope,"00:35:12,070","00:35:40,970", KENOBI'S DWELLING,4253040
BEN,you must learn the ways of the force if youre to come with me to alderaan,"00:35:55,900","00:35:59,990", KENOBI'S DWELLING,4315890
LUKE,alderaan im not going to alderaan ive got to go home its late im in for it as it is,"00:36:00,070","00:36:05,950", KENOBI'S DWELLING,4326020
BEN,i need your help luke she needs your help im getting too old for this sort of thing,"00:36:06,040","00:36:11,710", KENOBI'S DWELLING,4337750
LUKE,i cant get involved ive got work to do its not that i like the empire i hate it but theres nothing i can do about it right now its such a long way from here,"00:36:16,300","00:36:29,980", KENOBI'S DWELLING,4366280
LUKE,look i can take you as far as anchorhead you can get a transport there to mos eisley or wherever youre going,"00:36:45,780","00:36:49,200", KENOBI'S DWELLING,4414980
BEN,you must do what you feel is right of course,"00:36:50,410","00:36:53,420", KENOBI'S DWELLING,4423830
TAGGE,until this battle station is fully operational we are vulnerable the rebel alliance is too well equipped theyre more dangerous than you realize,"00:37:00,970","00:37:08,850", DEATH STAR ,4449820
MOTTI,dangerous to your starfleet commander not to this battle station,"00:37:08,930","00:37:13,650", DEATH STAR ,4462580
TAGGE,the rebellion will continue to gain a support in the imperial senate as long as,"00:37:13,730","00:37:17,360", DEATH STAR ,4471090
TARKIN,the imperial senate will no longer be of any concern to us ive just received word that the emperor has dissolved the council permanently the last remnants of the old republic have been swept away,"00:37:17,440","00:37:29,790", DEATH STAR ,4487230
TAGGE,thats impossible how will the emperor maintain control without the bureaucracy,"00:37:30,450","00:37:34,250", DEATH STAR ,4504700
TARKIN,the regional governors now have direct control over territories fear will keep the local systems in line fear of this battle station,"00:37:34,330","00:37:45,470", DEATH STAR ,4519800
TAGGE,and what of the rebellion if the rebels have obtained a complete technical readout of this station it is possible however unlikely that they might find a weakness and exploit it,"00:37:45,550","00:37:54,310", DEATH STAR ,4539860
VADER,the plans you refer to will soon be back in our hands,"00:37:55,060","00:37:58,650", DEATH STAR ,4553710
MOTTI,any attack made by the rebels against this station would be a useless gesture no matter what technical data theyve obtained this station is now the ultimate power in the universe i suggest we use it,"00:37:58,730","00:38:11,250", DEATH STAR ,4569980
VADER,dont be too proud of this technological terror youve constructed the ability to destroy a planet is insignificant next to the power of the force,"00:38:11,330","00:38:21,000", DEATH STAR ,4592330
MOTTI,dont try to frighten us with your sorcerers ways lord vader your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes or given you clairvoyance enough to find the rebels hidden fort,"00:38:21,090","00:38:34,350", DEATH STAR ,4615440
VADER,i find your lack of faith disturbing,"00:38:41,570","00:38:44,190", DEATH STAR ,4645760
TARKIN,enough of this vader release him,"00:38:45,320","00:38:48,030", DEATH STAR ,4653350
VADER,as you wish,"00:38:48,120","00:38:49,580", DEATH STAR ,4657700
TARKIN,this bickering is pointless lord vader will provide us with the location of the rebel fortress by the time this station is operational we will then crush the rebellion with one swift stroke,"00:38:51,790","00:39:04,760", DEATH STAR ,4676550
LUKE,it looks like sandpeople did this all right look here are gaffi sticks bantha tracks its just i never heard of them hitting anything this big before,"00:39:12,720","00:39:18,730", TATOOINE ,4711450
BEN,they didnt but we are meant to think they did these tracks are side by side sandpeople always ride single file to hide there numbers,"00:39:18,810","00:39:28,410", TATOOINE ,4727220
LUKE,these are the same jawas that sold us artoo and threepio,"00:39:28,490","00:39:31,370", TATOOINE ,4739860
BEN,and these blast points too accurate for sandpeople only imperial stormtroopers are so precise,"00:39:31,450","00:39:40,250", TATOOINE ,4751700
LUKE,why would imperial troops want to slaughter jawas,"00:39:40,330","00:39:42,880", TATOOINE ,4763210
LUKE,if they traced the robots here they may have learned who they sold them to and that would lead them home,"00:39:48,300","00:39:53,390", TATOOINE ,4781690
BEN,wait luke its too dangerous,"00:39:53,470","00:39:56,850", TATOOINE ,4790320
LUKE,uncle owen aunt beru uncle owen,"00:40:21,120","00:40:26,170", TATOOINE ,4847290
VADER,and now your highness we will discuss the location of your hidden rebel base,"00:41:16,470","00:41:22,060", DEATH STAR ,4958530
BEN,theres nothing you could have done luke had you been there youd have been killed too and the droids would be in the hands of the empire,"00:42:05,060","00:42:12,950", TATOOINE ,5058010
LUKE,i want to come with you to alderaan theres nothing here for me now i want to learn the ways of the force and become a jedi like my father,"00:42:14,740","00:42:22,580", TATOOINE ,5077320
BEN,mos eisley spaceport you will never find a more wretched hive of scum and villainy we must be cautious,"00:42:38,300","00:42:47,980", TATOOINE ,5126280
TROOPER,how long have you had these droids,"00:43:29,310","00:43:31,230", TATOOINE ,5220540
