character,text,start_time,end_time,location,time in ms
THREEPIO,did you hear that theyve shut down the main reactor well be destroyed for sure this is madness,"00:02:47,620","00:02:54,170", REBEL BLOCKADE RUNNER ,6550
THREEPIO,were doomed,"00:03:04,180","00:03:05,640", REBEL BLOCKADE RUNNER ,1460
THREEPIO,therell be no escape for the princess this time,"00:03:08,020","00:03:10,270", REBEL BLOCKADE RUNNER ,2250
THREEPIO,whats that,"00:03:13,610","00:03:15,070", REBEL BLOCKADE RUNNER ,1460
REBEL OFFICER,we intercepted no transmissions aaah this is a consular ship were on a diplomatic mission,"00:05:53,180","00:05:57,190", REBEL BLOCKADE RUNNER ,4010
VADER,if this is a consular ship were is the ambassador,"00:05:57,270","00:06:01,900", REBEL BLOCKADE RUNNER ,4630
VADER,commander tear this ship apart until youve found those plans and bring me the ambassador i want her alive,"00:06:05,320","00:06:11,910", REBEL BLOCKADE RUNNER ,6590
TROOPER,there she is set for stun,"00:06:24,380","00:06:25,920", REBEL BLOCKADE RUNNER ,1540
TROOPER,shell be all right inform lord vader we have a prisoner,"00:06:31,640","00:06:35,310", REBEL BLOCKADE RUNNER ,3670
THREEPIO,hey youre not permitted in there its restricted youll be deactivated for sure,"00:06:36,890","00:06:41,440", REBEL BLOCKADE RUNNER ,4550
THREEPIO,dont call me a mindless philosopher you overweight glob of grease now come out before somebody sees you,"00:06:43,400","00:06:47,780", REBEL BLOCKADE RUNNER ,4380
THREEPIO,secret mission what plans what are you talking about im not getting in there,"00:06:50,160","00:06:55,080", REBEL BLOCKADE RUNNER ,4920
THREEPIO,im going to regret this,"00:06:58,410","00:07:00,670", REBEL BLOCKADE RUNNER ,2260
CHIEF PILOT,there goes another one,"00:07:07,800","00:07:11,130", IMPERIAL STARDESTROYER,3330
CAPTAIN,hold your fire there are no life forms it must have been short circuited,"00:07:07,800","00:07:12,550", IMPERIAL STARDESTROYER,4750
THREEPIO,thats funny the damage doesnt look as bad from out here,"00:07:12,640","00:07:15,970", LIFEPOD,3330
THREEPIO,are you sure this things safe,"00:07:18,310","00:07:20,310", LIFEPOD,2000
THREEPIO,what makes you think there are settlements over there,"00:09:39,700","00:09:42,120", TATOOINE ,2420
THREEPIO,dont get technical with me,"00:09:43,870","00:09:45,620", TATOOINE ,1750
THREEPIO,what mission what are you talking about ive had just about enough of you go that way youll be malfunctioning within a day you nearsighted scrap pile,"00:09:46,920","00:09:58,340", TATOOINE ,11420
THREEPIO,and dont let me catch you following me begging for help because you wont get it,"00:09:59,050","00:10:02,680", TATOOINE ,3630
THREEPIO,no more adventures im not going that way,"00:10:17,150","00:10:20,950", TATOOINE ,3800
THREEPIO,that malfunctioning little twerp this is all his fault he tricked me into going this way but hell do no better,"00:10:54,860","00:11:03,080", TATOOINE ,8220
THREEPIO,wait whats that a transport im saved,"00:11:06,330","00:11:11,290", TATOOINE ,4960
THREEPIO,over here help please help,"00:11:11,380","00:11:19,380", TATOOINE ,8000
LUKE,well my little friend youve got something jammed in here real good were you on a cruiser or,"00:21:03,590","00:21:07,260", LARS HOMESTEAD ,3670
LEIA,help me obiwan kenobi youre my only hope,"00:21:08,100","00:21:11,180", LARS HOMESTEAD ,3080
LUKE,whats this,"00:21:11,270","00:21:12,890", LARS HOMESTEAD ,1620
THREEPIO,what is what he asked you a question,"00:21:12,980","00:21:16,100", LARS HOMESTEAD ,3120
LUKE,who is she shes beautiful,"00:21:34,500","00:21:36,580", LARS HOMESTEAD ,2080
THREEPIO,im afraid im not quite sure sir,"00:21:36,670","00:21:40,050", LARS HOMESTEAD ,3380
THREEPIO,i think she was a passenger on our last voyage a person of some importance sir  i believe our captain was attached to,"00:21:42,380","00:21:46,890", LARS HOMESTEAD ,4510
LUKE,is there more to this recording,"00:21:44,470","00:21:46,890", LARS HOMESTEAD ,2420
THREEPIO,behave yourself artoo youre going to get us in trouble its all right you can trust him hes our new master,"00:21:48,890","00:21:55,100", LARS HOMESTEAD ,6210
THREEPIO,he says hes the property of obiwan kenobi a resident of these parts and its a private message for him quite frankly sir i dont know what hes talking about our last master was captain antilles but with what weve been through this little r2 unit has become a bit eccentric,"00:21:55,190","00:22:13,700", LARS HOMESTEAD ,18510
LUKE,obiwan kenobi i wonder if he means old ben kenobi,"00:22:13,790","00:22:16,960", LARS HOMESTEAD ,3170
THREEPIO,i beg your pardon sir but do you know what hes talking about,"00:22:17,040","00:22:19,710", LARS HOMESTEAD ,2670
LUKE,well i dont know anyone named obi wan but old ben lives out beyond the dune sea hes kind of a strange old hermit,"00:22:19,790","00:22:27,090", LARS HOMESTEAD ,7300
LUKE,i wonder who she is it sounds like shes in trouble id better play back the whole thing,"00:22:28,300","00:22:33,220", LARS HOMESTEAD ,4920
THREEPIO,he says the restraining bolt has short circuited his recording system he suggests that if you remove the bolt he might be able to play back the entire recording,"00:22:36,940","00:22:46,030", LARS HOMESTEAD ,9090
LUKE,hm oh yeah well i guess youre too small to run away on me if i take this off okay,"00:22:46,110","00:22:53,120", LARS HOMESTEAD ,7010
LUKE,there you go,"00:22:56,000","00:22:57,620", LARS HOMESTEAD ,1620
